位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述,位,类型,描述
Level_01字段0,,,Level_01字段1,,,Level_01字段2,,,Level_01字段3,,,Level_02字段0,,,Level_02字段1,,,Level_02字段2,,,Level_02字段3,,,Level_03字段0,,,Level_03字段1,,,Level_03字段2,,,Level_03字段3,,,Level_04字段0,,,Level_04字段1,,,Level_04字段2,,,Level_04字段3,,,Level_05字段0,,,Level_05字段1,,,Level_05字段2,,,Level_05字段3,,
bit0,ErrorCode_App_L1[0],"""""",bit0,ErrorCode_App_L1[1],"""""",bit0,ErrorCode_App_L1[2],"""""",bit0,ErrorCode_App_L1[3],"""""",bit0,ErrorCode_App_L2[0],支架进检测区卡,bit0,ErrorCode_App_L2[1],"""""",bit0,ErrorCode_App_L2[2],"""""",bit0,ErrorCode_App_L2[3],"""""",bit0,ErrorCode_App_L3[0],设备需要复位,bit0,ErrorCode_App_L3[1],"""""",bit0,ErrorCode_App_L3[2],"""""",bit0,ErrorCode_App_L3[3],"""""",bit0,ErrorCode_App_L4[0],设备需要重启,bit0,ErrorCode_App_L4[1],"""""",bit0,ErrorCode_App_L4[2],"""""",bit0,ErrorCode_App_L4[3],"""""",bit0,ErrorCode_App_L5[0],读取Flash数据校验失败,bit0,ErrorCode_App_L5[1],"""""",bit0,ErrorCode_App_L5[2],"""""",bit0,ErrorCode_App_L5[3],""""""
bit1,ErrorCode_App_L1[0],"""""",bit1,ErrorCode_App_L1[1],"""""",bit1,ErrorCode_App_L1[2],"""""",bit1,ErrorCode_App_L1[3],"""""",bit1,ErrorCode_App_L2[0],支架回上料盒卡,bit1,ErrorCode_App_L2[1],"""""",bit1,ErrorCode_App_L2[2],"""""",bit1,ErrorCode_App_L2[3],"""""",bit1,ErrorCode_App_L3[0],"""""",bit1,ErrorCode_App_L3[1],"""""",bit1,ErrorCode_App_L3[2],"""""",bit1,ErrorCode_App_L3[3],"""""",bit1,ErrorCode_App_L4[0],"""""",bit1,ErrorCode_App_L4[1],"""""",bit1,ErrorCode_App_L4[2],"""""",bit1,ErrorCode_App_L4[3],"""""",bit1,ErrorCode_App_L5[0],读取Flash数据校验失败,bit1,ErrorCode_App_L5[1],"""""",bit1,ErrorCode_App_L5[2],"""""",bit1,ErrorCode_App_L5[3],""""""
bit2,ErrorCode_App_L1[0],"""""",bit2,ErrorCode_App_L1[1],"""""",bit2,ErrorCode_App_L1[2],"""""",bit2,ErrorCode_App_L1[3],"""""",bit2,ErrorCode_App_L2[0],支架进点胶区卡,bit2,ErrorCode_App_L2[1],"""""",bit2,ErrorCode_App_L2[2],"""""",bit2,ErrorCode_App_L2[3],"""""",bit2,ErrorCode_App_L3[0],"""""",bit2,ErrorCode_App_L3[1],"""""",bit2,ErrorCode_App_L3[2],"""""",bit2,ErrorCode_App_L3[3],"""""",bit2,ErrorCode_App_L4[0],"""""",bit2,ErrorCode_App_L4[1],"""""",bit2,ErrorCode_App_L4[2],"""""",bit2,ErrorCode_App_L4[3],"""""",bit2,ErrorCode_App_L5[0],"""""",bit2,ErrorCode_App_L5[1],"""""",bit2,ErrorCode_App_L5[2],"""""",bit2,ErrorCode_App_L5[3],""""""
bit3,ErrorCode_App_L1[0],"""""",bit3,ErrorCode_App_L1[1],"""""",bit3,ErrorCode_App_L1[2],"""""",bit3,ErrorCode_App_L1[3],"""""",bit3,ErrorCode_App_L2[0],支架进下料盒卡,bit3,ErrorCode_App_L2[1],"""""",bit3,ErrorCode_App_L2[2],"""""",bit3,ErrorCode_App_L2[3],"""""",bit3,ErrorCode_App_L3[0],"""""",bit3,ErrorCode_App_L3[1],"""""",bit3,ErrorCode_App_L3[2],"""""",bit3,ErrorCode_App_L3[3],"""""",bit3,ErrorCode_App_L4[0],"""""",bit3,ErrorCode_App_L4[1],"""""",bit3,ErrorCode_App_L4[2],"""""",bit3,ErrorCode_App_L4[3],"""""",bit3,ErrorCode_App_L5[0],"""""",bit3,ErrorCode_App_L5[1],"""""",bit3,ErrorCode_App_L5[2],"""""",bit3,ErrorCode_App_L5[3],""""""
bit4,ErrorCode_App_L1[0],"""""",bit4,ErrorCode_App_L1[1],"""""",bit4,ErrorCode_App_L1[2],"""""",bit4,ErrorCode_App_L1[3],"""""",bit4,ErrorCode_App_L2[0],上料盒卸料盒卡,bit4,ErrorCode_App_L2[1],"""""",bit4,ErrorCode_App_L2[2],"""""",bit4,ErrorCode_App_L2[3],"""""",bit4,ErrorCode_App_L3[0],"""""",bit4,ErrorCode_App_L3[1],"""""",bit4,ErrorCode_App_L3[2],"""""",bit4,ErrorCode_App_L3[3],"""""",bit4,ErrorCode_App_L4[0],"""""",bit4,ErrorCode_App_L4[1],"""""",bit4,ErrorCode_App_L4[2],"""""",bit4,ErrorCode_App_L4[3],"""""",bit4,ErrorCode_App_L5[0],"""""",bit4,ErrorCode_App_L5[1],"""""",bit4,ErrorCode_App_L5[2],"""""",bit4,ErrorCode_App_L5[3],""""""
bit5,ErrorCode_App_L1[0],"""""",bit5,ErrorCode_App_L1[1],"""""",bit5,ErrorCode_App_L1[2],"""""",bit5,ErrorCode_App_L1[3],"""""",bit5,ErrorCode_App_L2[0],推支架电机异常,bit5,ErrorCode_App_L2[1],"""""",bit5,ErrorCode_App_L2[2],"""""",bit5,ErrorCode_App_L2[3],"""""",bit5,ErrorCode_App_L3[0],"""""",bit5,ErrorCode_App_L3[1],"""""",bit5,ErrorCode_App_L3[2],"""""",bit5,ErrorCode_App_L3[3],"""""",bit5,ErrorCode_App_L4[0],"""""",bit5,ErrorCode_App_L4[1],"""""",bit5,ErrorCode_App_L4[2],"""""",bit5,ErrorCode_App_L4[3],"""""",bit5,ErrorCode_App_L5[0],"""""",bit5,ErrorCode_App_L5[1],"""""",bit5,ErrorCode_App_L5[2],"""""",bit5,ErrorCode_App_L5[3],""""""
bit6,ErrorCode_App_L1[0],"""""",bit6,ErrorCode_App_L1[1],"""""",bit6,ErrorCode_App_L1[2],"""""",bit6,ErrorCode_App_L1[3],"""""",bit6,ErrorCode_App_L2[0],下料盒卸料盒卡,bit6,ErrorCode_App_L2[1],"""""",bit6,ErrorCode_App_L2[2],"""""",bit6,ErrorCode_App_L2[3],"""""",bit6,ErrorCode_App_L3[0],"""""",bit6,ErrorCode_App_L3[1],"""""",bit6,ErrorCode_App_L3[2],"""""",bit6,ErrorCode_App_L3[3],"""""",bit6,ErrorCode_App_L4[0],"""""",bit6,ErrorCode_App_L4[1],"""""",bit6,ErrorCode_App_L4[2],"""""",bit6,ErrorCode_App_L4[3],"""""",bit6,ErrorCode_App_L5[0],"""""",bit6,ErrorCode_App_L5[1],"""""",bit6,ErrorCode_App_L5[2],"""""",bit6,ErrorCode_App_L5[3],""""""
bit7,ErrorCode_App_L1[0],"""""",bit7,ErrorCode_App_L1[1],"""""",bit7,ErrorCode_App_L1[2],"""""",bit7,ErrorCode_App_L1[3],"""""",bit7,ErrorCode_App_L2[0],"""""",bit7,ErrorCode_App_L2[1],"""""",bit7,ErrorCode_App_L2[2],"""""",bit7,ErrorCode_App_L2[3],"""""",bit7,ErrorCode_App_L3[0],"""""",bit7,ErrorCode_App_L3[1],"""""",bit7,ErrorCode_App_L3[2],"""""",bit7,ErrorCode_App_L3[3],"""""",bit7,ErrorCode_App_L4[0],"""""",bit7,ErrorCode_App_L4[1],"""""",bit7,ErrorCode_App_L4[2],"""""",bit7,ErrorCode_App_L4[3],"""""",bit7,ErrorCode_App_L5[0],"""""",bit7,ErrorCode_App_L5[1],"""""",bit7,ErrorCode_App_L5[2],"""""",bit7,ErrorCode_App_L5[3],""""""
bit8,ErrorCode_App_L1[0],"""""",bit8,ErrorCode_App_L1[1],"""""",bit8,ErrorCode_App_L1[2],"""""",bit8,ErrorCode_App_L1[3],"""""",bit8,ErrorCode_App_L2[0],"""""",bit8,ErrorCode_App_L2[1],"""""",bit8,ErrorCode_App_L2[2],"""""",bit8,ErrorCode_App_L2[3],"""""",bit8,ErrorCode_App_L3[0],"""""",bit8,ErrorCode_App_L3[1],"""""",bit8,ErrorCode_App_L3[2],"""""",bit8,ErrorCode_App_L3[3],"""""",bit8,ErrorCode_App_L4[0],"""""",bit8,ErrorCode_App_L4[1],"""""",bit8,ErrorCode_App_L4[2],"""""",bit8,ErrorCode_App_L4[3],"""""",bit8,ErrorCode_App_L5[0],"""""",bit8,ErrorCode_App_L5[1],"""""",bit8,ErrorCode_App_L5[2],"""""",bit8,ErrorCode_App_L5[3],""""""
bit9,ErrorCode_App_L1[0],"""""",bit9,ErrorCode_App_L1[1],"""""",bit9,ErrorCode_App_L1[2],"""""",bit9,ErrorCode_App_L1[3],"""""",bit9,ErrorCode_App_L2[0],"""""",bit9,ErrorCode_App_L2[1],"""""",bit9,ErrorCode_App_L2[2],"""""",bit9,ErrorCode_App_L2[3],"""""",bit9,ErrorCode_App_L3[0],"""""",bit9,ErrorCode_App_L3[1],"""""",bit9,ErrorCode_App_L3[2],"""""",bit9,ErrorCode_App_L3[3],"""""",bit9,ErrorCode_App_L4[0],"""""",bit9,ErrorCode_App_L4[1],"""""",bit9,ErrorCode_App_L4[2],"""""",bit9,ErrorCode_App_L4[3],"""""",bit9,ErrorCode_App_L5[0],"""""",bit9,ErrorCode_App_L5[1],"""""",bit9,ErrorCode_App_L5[2],"""""",bit9,ErrorCode_App_L5[3],""""""
bit10,ErrorCode_App_L1[0],"""""",bit10,ErrorCode_App_L1[1],"""""",bit10,ErrorCode_App_L1[2],"""""",bit10,ErrorCode_App_L1[3],"""""",bit10,ErrorCode_App_L2[0],"""""",bit10,ErrorCode_App_L2[1],"""""",bit10,ErrorCode_App_L2[2],"""""",bit10,ErrorCode_App_L2[3],"""""",bit10,ErrorCode_App_L3[0],"""""",bit10,ErrorCode_App_L3[1],"""""",bit10,ErrorCode_App_L3[2],"""""",bit10,ErrorCode_App_L3[3],"""""",bit10,ErrorCode_App_L4[0],"""""",bit10,ErrorCode_App_L4[1],"""""",bit10,ErrorCode_App_L4[2],"""""",bit10,ErrorCode_App_L4[3],"""""",bit10,ErrorCode_App_L5[0],"""""",bit10,ErrorCode_App_L5[1],"""""",bit10,ErrorCode_App_L5[2],"""""",bit10,ErrorCode_App_L5[3],""""""
bit11,ErrorCode_App_L1[0],"""""",bit11,ErrorCode_App_L1[1],"""""",bit11,ErrorCode_App_L1[2],"""""",bit11,ErrorCode_App_L1[3],"""""",bit11,ErrorCode_App_L2[0],"""""",bit11,ErrorCode_App_L2[1],"""""",bit11,ErrorCode_App_L2[2],"""""",bit11,ErrorCode_App_L2[3],"""""",bit11,ErrorCode_App_L3[0],"""""",bit11,ErrorCode_App_L3[1],"""""",bit11,ErrorCode_App_L3[2],"""""",bit11,ErrorCode_App_L3[3],"""""",bit11,ErrorCode_App_L4[0],"""""",bit11,ErrorCode_App_L4[1],"""""",bit11,ErrorCode_App_L4[2],"""""",bit11,ErrorCode_App_L4[3],"""""",bit11,ErrorCode_App_L5[0],"""""",bit11,ErrorCode_App_L5[1],"""""",bit11,ErrorCode_App_L5[2],"""""",bit11,ErrorCode_App_L5[3],""""""
bit12,ErrorCode_App_L1[0],"""""",bit12,ErrorCode_App_L1[1],"""""",bit12,ErrorCode_App_L1[2],"""""",bit12,ErrorCode_App_L1[3],"""""",bit12,ErrorCode_App_L2[0],"""""",bit12,ErrorCode_App_L2[1],"""""",bit12,ErrorCode_App_L2[2],"""""",bit12,ErrorCode_App_L2[3],"""""",bit12,ErrorCode_App_L3[0],"""""",bit12,ErrorCode_App_L3[1],"""""",bit12,ErrorCode_App_L3[2],"""""",bit12,ErrorCode_App_L3[3],"""""",bit12,ErrorCode_App_L4[0],"""""",bit12,ErrorCode_App_L4[1],"""""",bit12,ErrorCode_App_L4[2],"""""",bit12,ErrorCode_App_L4[3],"""""",bit12,ErrorCode_App_L5[0],"""""",bit12,ErrorCode_App_L5[1],"""""",bit12,ErrorCode_App_L5[2],"""""",bit12,ErrorCode_App_L5[3],""""""
bit13,ErrorCode_App_L1[0],"""""",bit13,ErrorCode_App_L1[1],"""""",bit13,ErrorCode_App_L1[2],"""""",bit13,ErrorCode_App_L1[3],"""""",bit13,ErrorCode_App_L2[0],"""""",bit13,ErrorCode_App_L2[1],"""""",bit13,ErrorCode_App_L2[2],"""""",bit13,ErrorCode_App_L2[3],"""""",bit13,ErrorCode_App_L3[0],"""""",bit13,ErrorCode_App_L3[1],"""""",bit13,ErrorCode_App_L3[2],"""""",bit13,ErrorCode_App_L3[3],"""""",bit13,ErrorCode_App_L4[0],"""""",bit13,ErrorCode_App_L4[1],"""""",bit13,ErrorCode_App_L4[2],"""""",bit13,ErrorCode_App_L4[3],"""""",bit13,ErrorCode_App_L5[0],"""""",bit13,ErrorCode_App_L5[1],"""""",bit13,ErrorCode_App_L5[2],"""""",bit13,ErrorCode_App_L5[3],""""""
bit14,ErrorCode_App_L1[0],"""""",bit14,ErrorCode_App_L1[1],"""""",bit14,ErrorCode_App_L1[2],"""""",bit14,ErrorCode_App_L1[3],"""""",bit14,ErrorCode_App_L2[0],"""""",bit14,ErrorCode_App_L2[1],"""""",bit14,ErrorCode_App_L2[2],"""""",bit14,ErrorCode_App_L2[3],"""""",bit14,ErrorCode_App_L3[0],"""""",bit14,ErrorCode_App_L3[1],"""""",bit14,ErrorCode_App_L3[2],"""""",bit14,ErrorCode_App_L3[3],"""""",bit14,ErrorCode_App_L4[0],"""""",bit14,ErrorCode_App_L4[1],"""""",bit14,ErrorCode_App_L4[2],"""""",bit14,ErrorCode_App_L4[3],"""""",bit14,ErrorCode_App_L5[0],"""""",bit14,ErrorCode_App_L5[1],"""""",bit14,ErrorCode_App_L5[2],"""""",bit14,ErrorCode_App_L5[3],""""""
bit15,ErrorCode_App_L1[0],"""""",bit15,ErrorCode_App_L1[1],"""""",bit15,ErrorCode_App_L1[2],"""""",bit15,ErrorCode_App_L1[3],"""""",bit15,ErrorCode_App_L2[0],"""""",bit15,ErrorCode_App_L2[1],"""""",bit15,ErrorCode_App_L2[2],"""""",bit15,ErrorCode_App_L2[3],"""""",bit15,ErrorCode_App_L3[0],"""""",bit15,ErrorCode_App_L3[1],"""""",bit15,ErrorCode_App_L3[2],"""""",bit15,ErrorCode_App_L3[3],"""""",bit15,ErrorCode_App_L4[0],"""""",bit15,ErrorCode_App_L4[1],"""""",bit15,ErrorCode_App_L4[2],"""""",bit15,ErrorCode_App_L4[3],"""""",bit15,ErrorCode_App_L5[0],"""""",bit15,ErrorCode_App_L5[1],"""""",bit15,ErrorCode_App_L5[2],"""""",bit15,ErrorCode_App_L5[3],""""""
